评分,评论内容,评论时间,点评总数,上传图片
5.0,酒店距离2号线还是很方便的，房间大小合适，服务特别好！到店就准备了酸奶，期间每个服务员态度都非常棒，给人感觉很舒服！下次去还会选择！,发表于2019-09-14,7.0,9.0
5.0,第一次写评价……因为酒店工作人员给我感觉很贴心捏，本来订了2天，又续了2天，本来订了别的酒店后来不高兴去了，就退了另一个酒店续订了这个，前台工作人员名字也挺可爱，欢欢，葵花，太阳。,发表于2019-09-14,2.0,
5.0,房间特别干净卫生！装修漂亮清爽，客房打扫的很认真，前台接待服务非常好，每次都微笑而且特别热情，效率也非常高！大厅漂亮，客房也香香的。有三个小姐姐都很好，名字我忘了，好像有一个姓高，十分感谢热情接待，全五星，下次来重庆还会来住的,发表于2019-09-13,18.0,
5.0,第一次携程写评论，酒店超乎想象的好，房间干净，装修风格简约时尚，房间隔音好，无任何异味。最主要的是前台小姐姐小哥哥服务超级好，住了这么多五星酒店，这是我遇到的服务最好的。阳光、葵花、欢欢三位服务贴心，特别细致周到，为三位的服务服务点赞�以后如果来重庆，一定会选择的一家酒店,发表于2019-09-15,1.0,
5.0,本人孕妇一直对住的地方要求比较高 之前来过重庆 就奔着吃来的 开始住了 解放碑附近的店 简直差的要死 第二天果断换了这家 前台小姐姐都很温柔 我住酒店就两个要求 干净 安静 早餐可以送到房间 出门就是轻轨 去哪基本都是起步价 附近也有好吃的 真的推荐 ～,发表于2019-09-14,6.0,
5.0,酒店很棒！在小坡上，出门有公交站，走1分钟就是轻轨站，临江，晚上可以看到江景。离解放碑就2站路，走十分钟就是大礼堂，有很多吃的。路口国家电网隔壁有个小餐厅，小面和川菜很地道，重庆基本路边的小店都很好吃。酒店很舒适，住了6天，前台很贴心。,发表于2019-09-16,8.0,12.0
5.0,ins风 交通很便利 五分钟就到2号线 前台的太阳 葵花 高原三位小姐姐人超好  退房的时候还问需不需要带两瓶水在路上喝  ,发表于2019-10-03,2.0,
5.0,酒店环境好，服务好。小艺，小汐，葵花，三位小姐姐服务态度非常到位，热情。感谢！在重庆期间继续入住。真实评价！,发表于2019-11-29,2.0,
5.0,要点赞给前台的小姐姐小哥哥，很有礼貌也很负责。入住前打电话确认入住时间，办理入住后还帮忙指引房间。另外，房间环境真的不错，干净有设计感。,发表于2019-10-03,16.0,2.0
5.0,房间很好，装修的也很漂亮，很文艺，前台小姐姐小哥哥都很贴心，服务简直nice到不行，也会给推荐哪里的火锅好吃，诸如此类，就是很好，是一次很好的住宿体验。,发表于2019-07-09,3.0,2.0
5.0,总体非常非常好！去解放碑，李子坝轻轨2号线非常方便。工作人员很有耐心，直接免费导游了！所以我才续住第2晚，推荐！,发表于2019-07-25,9.0,4.0
5.0,酒店环境很好.前台小姐姐服务也很好.特别叶子和小汐两个小姐姐特别点赞..携程行李管家这个服务太贴心了.赞..,发表于2019-12-22,5.0,
5.0,前台可可很棒，酒店也不错，可以免费停车，还给我们升级了房间,发表于2020-03-28,7.0,2.0
5.0,酒店的位置不错，布置格调也很清新。感谢前台小汐的热情服务。期待下次有机会再去！,发表于2019-12-30,3.0,
5.0,酒店环境很好，前台小姐姐超赞，叶子和竹林态度好好！特别是携程的行李管家服务，超贴心！赞�,发表于2019-12-26,1.0,
5.0,位置还算可以，离地铁站近，公交也方便，一楼的餐厅味道也好,发表于2019-11-04,1.0,1.0
5.0,前台欣欣和小刘很不错哦 离店还给我们了水和饼干 很贴心,发表于2020-04-13,1.0,
5.0,位置离地铁近，环境幽雅，干净整洁，感谢前台葵花，高原，非常细心礼貌！,发表于2019-08-28,3.0,3.0
5.0,酒店离轻轨站很近，交通很方便，前台服务态度很好，表扬一下，可可，小刘，高原和竹林,发表于2020-01-17,1.0,
5.0,城市的喧嚣并未影响来住的宁静，美丽的前台小姐姐的服务更是热情周到，房间宽敞，设备齐全，可谓出游重庆的绝佳选择！,发表于2019-10-18,4.0,
5.0,蛮新的酒店，服务挺好。位置不是最中心，但有江景，靠近地铁。朋友订的房间有点小问题，但基本解决了，送了早餐，总体还不错,发表于2019-10-04,9.0,1.0
5.0,前厅欢欢服务态度确实很不错，看得出来大家都是在用心做酒店的，客房干净卫生，没问题的，设施齐全完善，环境也很好哦，推荐大家过来感受下噢，住一下吧,发表于2019-09-15,3.0,
5.0,非常好的宾馆，非常好的服务，硬件还可以，最主要的是服务，比很多四五星还要好。重庆最值得住的宾馆，距离2号线特别近，我住的房间有个缺点，608屋顶是设备夜里非常吵，但是瑕不掩瑜，还是非常好，挺棒的。,发表于2019-09-12,32.0,23.0
5.0,在酒店住了两天，体验非常不错，细节方面都做的很好，酒店里的桌角都有保护套，厕所也有应急电话，细节很到位，酒店前台等工作人员都很热情，特别是欢欢……这次带父母旅游，他们都住的很开心,发表于2019-09-10,1.0,
5.0,服务特别好，我们办理入住的时候先给了我们两盒酸奶，然后有服务员帮你拉行李箱到房间，第二天我们要退房的时候还问我们要不要路上带点水，行李要不要直接帮忙送到接下来的酒店，总之很贴心了,发表于2019-09-13,2.0,3.0
5.0,离地铁站非常近，酒店设施很不错，我很喜欢那种简约风格，而且空间设计的很合理，视觉上并不感到压抑，服务人员态度特好（前台的几个妹子都很甜）,发表于2019-09-09,1.0,
4.8,酒店地理位置很好，离洪崖洞和解放碑很近，出行很方便，前台和帮忙拿行李的小哥哥都很热情，特别要表扬一下小哥哥，一路帮忙拿行李还一起送到房间，晚上我们开车出去吃饭还给我们预留车位，服务态度很好，唯一有一点瑕疵就是楼上用水下面声音很大，希望改进，总的来说比较满意，下次来重庆也会选择住在这里。,发表于2019-09-07,8.0,7.0
5.0,这个酒店真的太好了 1.位置好 就在某地铁口走路五分钟最多 如果去解放碑的话坐两站地铁就到 2.装修我很喜欢 用了所谓的莫兰迪配色？反正挺小清新的 也很干净！3.酒店服务员态度都很好 尤其是葵花 太阳 欢欢 葵花还帮忙升级了房间！早上预定了早饭 送到房间来也很方便 总之 快去预定快去住！,发表于2019-09-07,2.0,
5.0,由于时间匆忙 没有拍酒店的美图 首先我要说的是酒店的服务好到没话说 其实我都觉得无所谓的事情 店里的人员特别上心 其次免费矿泉水无限使用 不是钱不钱的事 是一种对顾客的贴心 无论问什么都耐心解答 酒店布置也非常不错 总之由于安排的时间比较紧凑 下次如果有机会再去重庆还会去的,发表于2019-09-06,2.0,
5.0,非常不错，特别是他们的员工葵花、竹林、太阳的服务简直是棒棒哒，以求必应。房间都相当舒适此次一定在住！这次忘记拍照了，拍照一定也很美,发表于2019-09-12,2.0,
5.0,首次重庆旅行，来住酒店令人印象深刻.入住首日前台服务人员非常有礼貌，很热情，一名帅哥服务员帮我拉着行李箱送至房间，简明扼要介绍房间内使用功能.期间服务细节做得也非常好，饮用水不限量供应，离店时服务员欢欢也非常热情有礼貌.特别提示后面的住客：洗澡间的水流很大，洗澡舒服极了.酒店位置很好，离轻轨2号线很近，3站到网红打卡地李子坝，坐公交也非常方便，酒店出来下坡右边就是，可以直达较场口，瓷器口！总之，这是我和女儿一次完美的出行！,发表于2019-09-09,6.0,2.0
5.0,酒店地理位置好，离2号线2分钟。前台服务的高原和葵花非常热情，房间里设施齐全，干净。周边环境也比较安静和安全。下次去重庆，还会订这家酒店的。,发表于2019-09-04,2.0,
5.0,总体感觉特别棒，酒店最重要的就是服务。这家员工服务真的很棒,发表于2020-03-29,1.0,
5.0,酒店不错 闹中取静 离轻轨近 当天的服务生 � 竹林 � �,发表于2019-10-16,3.0,3.0
5.0,酒店位置不错，在大溪沟地铁站旁边，酒店服务到位，干净整洁，感谢前台服务员高原和葵花，有问必答，服务热情！,发表于2019-11-21,2.0,
5.0,"酒店设施齐全，服务佳，出行方便，距离景点近，晚上可以去嘉陵江边散散步，附近美食林立，
       极力推荐！",发表于2019-11-14,12.0,
5.0,酒店真心不错，服务也很好，比较干净，前台也很热情，推荐入住，位置也很不错，床和枕头也舒服，早餐没能起来吃，总之很推荐！,发表于2019-11-15,11.0,2.0
5.0,酒店比想象中要好，店员太阳 高原 小刘服务太周到了 非常Nice�,发表于2019-09-03,2.0,3.0
5.0,前台西西小姐姐服务非常贴心 酒店现代装修风 各种智能硬件。住的很满意,发表于2020-01-28,5.0,
5.0,酒店环境不错，装修挺温馨的，前台工作人员小刘、小汐、葵花、太阳的服务态度很好，总是笑脸相迎，很体贴、很周到。,发表于2019-10-26,3.0,
5.0,前台小刘服务很好，酒店位置很好，房间很好，入住的非常满意,发表于2020-04-17,1.0,
4.8,这个酒店位置不错，距地铁和公交几步之遥，没有自助式早餐，有简餐，就是空调系统没清洗好，有异味，希望有所改进。,发表于2019-10-22,9.0,5.0
5.0,前台服务很贴心，自驾车来的，前台帅哥下来引导我！？开到酒店前的车位，房间做了升级，很大，还有智能马桶，床很舒服，特别满意！,发表于2019-10-15,7.0,9.0
5.0,酒店干净卫生.叶子的态度很好！,发表于2020-01-20,6.0,4.0
5.0,服务特别好，小倪……等等……办理是贴心给了益力多，办理房间升级服务，帮拿行李,发表于2019-07-18,1.0,4.0
4.5,停车 房间 服务都不错，但是淋浴室下水沟味很重很重，整晚要开排风扇，要不然晚上觉也睡不好。,发表于2019-12-28,13.0,3.0
5.0,酒店服务设施优质，前台美女叶子热情耐心解决客户问题，下次来还会选择这家酒店,发表于2019-12-20,9.0,11.0
5.0,体验很棒，服务优质，十分感谢图片中名字的工作人员，谢谢！,发表于2019-11-12,1.0,1.0
5.0,前台小刘服务很好酒店位置比较好找距离附近景点都很近，早餐好吃下次来会住这里,发表于2020-01-01,2.0,1.0
5.0,早餐很不错！入住非常愉快，还送了手作饼干！办理入住的小刘和竹琳特别好，感谢帮我们提拿行李，介绍周边交通！,发表于2019-10-05,6.0,
5.0,房间干净整洁，用具齐全，服务周到，距离景点都不远，舒适极了,发表于2019-10-16,4.0,4.0
5.0,我可以负责任的告诉大家，非常干净整洁的酒店，服务超级棒，我们是上午11点到达酒店，本想把行李寄存在前台，出去玩一会儿，下午2点再办理入住，但是出乎我的意料，居然有房间给我在11点钟办理了入住，前台服务员葵花，巧巧两位美女服务热情周到，在办理入住手续时给我了养乐多，帅哥服务员帮我们把行李搬到楼上，耐心讲解了客房的使用情况。 地理位置好，在2号线大溪沟地铁站200米左右，出行非常方便，去解放碑2站，还有公交车站大溪沟静园站。一点都不吵，这是我此次去重庆最开心的事，住的舒服，交通便利。酒店中的矿泉水无限次的。遗憾的是没有拍酒店的照片，下次去重庆一定还选来住酒店。,发表于2019-09-07,2.0,
5.0,开了不久的新酒店 设施都很新 位置交通也比较方便 服务也非常好 感谢太阳， 葵花，小竹，小刘，高原，给人宾至如归的住宿体验 唯一欠缺是装修较新味道有点重,发表于2019-09-04,8.0,
5.0,酒店位置离地标人民大礼堂和解放碑商圈很近，边上就是大溪沟轻轨站，去哪里都很方便。酒店室内装潢很现代，有智能灯光和高级洗浴设施。接待的前台都很亲切友好，给“高原”和“太阳”两位点赞�,发表于2019-09-03,5.0,9.0
5.0,很ins风的酒店呀，很喜欢。我跟朋友都很满意。床睡起很安逸，床单被罩都很绵软。沐浴露的味道很喜欢。对了，服务真的是太好了，办理登记就送了养乐多喝，还有薄荷糖，小饼干很好吃，餐厅看起也很特别，不过我们没有吃。唯一不满意的就是镜子的灯光了，很暗，不适合化妆，搽脸。可能是我们住那个房间的问题吧。建议加一个双面的化妆镜。,发表于2019-09-03,6.0,
5.0,位置很好找 服务人员专业热情 免费升级了房型 房间新装修的，浴室卫生间有一些下水道反上来的味道 房间有一面窗户没有纱窗 屋内发现一只小蟑螂，工作人员表示了歉意并做了即时处理（重庆气候原因屋内出现小昆虫在所难免） 整体挺满意的,发表于2019-09-01,3.0,
5.0,"感谢酒店前台，高原小妹热情周到的接待，和细致的导游指引，在我们晚上游览回酒店后，寄存的行李已经进房，而且免费升到豪华间，并为我们及时联系快递服务。                     
感谢酒店太阳、葵花、小刘、欢欢的服务
酒店安静，舒适，卫生，整体感觉很棒",发表于2019-09-01,2.0,
5.0,非常优秀的酒店，离二号线大溪沟站一步之遥，酒店本身也非常美观卫生，性价比也很高，服务态度更是没说的，另外感谢前台的高原美女帮我们升级了房型,发表于2019-09-01,4.0,
5.0,酒店体验感很棒！设施齐全，装修也特别棒！前台服务很热情，有问题都会第一时间帮忙解决，前台太阳竹林葵花三位美女特别可爱，服务很有耐心。推荐来住噢！,发表于2019-09-01,1.0,
5.0,酒店位置很好，离轻轨2号线非常近，步行5分钟，还有就是服务超好，从入住开始，前厅经理太阳，店长葵花，前台欢欢，接待小刘，都特别热情，一直询问有什么需要帮助的，感觉很温暖，矿泉水无限量供应，很方便,发表于2019-09-01,11.0,9.0
5.0,服务员很热情，干净卫生上档次，还给我免费升级，小帅哥帮忙拿行李，感谢！特别是装修很有品味，房间提供的有茶具 ，喝着茶 看着窗外奔流不息的嘉陵江，欣赏着暮色苍茫的重庆夜色，简直是太爽了！,发表于2019-08-29,8.0,
5.0,正如所期望的，房间大，设施新，干净卫生，所有工作人员礼貌亲和，服务贴心细致，交通非常便捷，下次去重庆一定会再次入住。全五星点赞！,发表于2019-08-28,3.0,
5.0,酒店很漂亮，很干净卫生，很整洁，很满意很赞，太舒服有家的感觉，下次来玩还会来订这家,发表于2019-07-02,1.0,4.0
5.0,酒店很不错，尤其是服务，特别赞，大大表扬一下高原和可可，几乎有求必应。感谢！,发表于2020-01-13,4.0,
5.0,卫生干净，环境不错。位置也挺好找，近地铁口。竹林，太阳的服务态度超级nice和亲切！出游不错的住宿选择！,发表于2019-11-11,1.0,
5.0,酒店非常好！很有设计感，房间的设施很舒服。周围交通便利。前台的服务一直很周到。表扬一下葵花和小王。,发表于2019-11-23,1.0,
5.0,如果第二天计划去三峡博物馆、这个位置就很好。,发表于2020-04-24,8.0,7.0
5.0,每次回重庆都住他家，门口就有公交站，出行方便，自驾也可免费停车，服务超级好！超级推荐！,发表于2020-01-14,19.0,10.0
5.0,早饭虽然简单，但是味道很不错，套餐价格也实惠。叶子，竹林，高源挺好的。,发表于2020-01-23,4.0,
5.0,房间干净，风格温馨，影视点播VIP好评！感谢酒店专业的工作人员，太阳 欢欢 小汐。,发表于2019-09-15,2.0,1.0
4.8,酒店位置可以，关键感觉很舒服正规，培训很到位，前台人员很规范热情点赞，性价比很高，十一三个酒店最满意的一个，建议入住。,发表于2019-10-07,1.0,
5.0,酒店位置很方便，大溪沟地铁站出来步行两三分钟就可以看到，入住整体感觉挺好的，前台很热情，早餐也不错�整体感觉很好,发表于2019-10-02,2.0,
5.0,环境不错，房间整齐干净，服务周到，吧员热情体贴，特别是小太阳，值得点赞。如果再来重庆你们肯定是我的首选。,发表于2019-09-27,8.0,
5.0,酒店的服务非常好，特别是小刘，很热情。太阳和竹林笑容很好！干净，里地铁站很近，想去哪里都很方便。经济实惠，你值得拥有。,发表于2019-09-28,1.0,
4.8,25日下午到酒店，工作人员都非常热情，特别是工作人员小刘，从停车后就开始大包小包的帮我拿行李，我都不好意思了，都是我们在住5星酒店才能享受的待遇，入住后房间有点小问题，马上就有人出来解决，还老是赔礼道歉的，真心感受到了热情的服务，所以从奥陶纪和武隆回来还选择了这里，虽然离西站都掉远，早起点就好，旅游住的舒服也很重要呢�值得推介，一般不写评论的我，由于在武隆车胎没有气了也得到了仙女山森林公园保安们的帮助真是让我对重庆人们太有爱了，喜欢这里有空会常来的,发表于2019-08-28,4.0,
5.0,酒店环境不错 卫生干净 服务人员态度很好 会带我们到房间去 很喜欢房间里的设施 很温馨 早餐也不错28元一位 很营养 很丰富 客房服务员处理问题也很及时,发表于2019-08-25,93.0,52.0
5.0,入住体验非常好。干净整洁又非常有设计感，拖鞋很舒服，洗护用品也很棒。最重要的是服务，感谢太阳、葵花、小刘、竹琳和欢欢。不仅让人有宾至如归的感觉，更是细心照顾。,发表于2019-08-24,2.0,
5.0,酒店的服务人员态度非常好，这种好都是发自内心深处的，不是做做表面的那种！酒店的出现很方便，大门出来左手边就是大溪沟地铁站在电力局的里面，右手边过大概3个红绿灯就是博物馆和重庆人民大礼堂！酒店的早餐也很丰盛，若想外出吃往右手边第二个红绿灯那里也有很多好吃滴！,发表于2019-08-26,6.0,
5.0,位置闹中取静，到洪崖洞解放碑两站，步行可到大礼堂、博物馆。装修是简洁现代的北欧风，房间干净整洁，床上用品舒适，令人感觉放松。 尤其值得一提的是服务，葵花、太阳、小刘、高原几位小姐姐小哥哥全程面带笑容，细心体贴，能及时解决住客的要求，真正做到让客人宾至如归，值得推荐的好酒店！,发表于2019-08-23,3.0,
5.0,续住第三天的。。。位置不错，步行洪崖洞25分钟，步行地铁站五分钟，公交站两分钟，入住的三天遇到的每一个工作人员都很热情负责，高原、葵花等前台人员的贴心服务给我们留下了非常深刻的印象，所以我才不停的续住���,发表于2019-08-23,38.0,9.0
5.0,酒店非常好，设施齐备，闹中取静，周边交通餐饮都方便，尤其是服务特别暖心，葵花、高原靓丽亲切，太阳帅气认真，真的是不可多得，下次来重庆必须还是这里啊！,发表于2019-08-23,18.0,
5.0,第一次来重庆玩 带了五天 都住了这个酒店 ，来之前在网上搜了好多 最终决定的 来了以后果然没让我们失望 酒店很棒 很干净 装修风格也很喜欢 北欧现代的 还有洗手间马桶还是智能的哦 ，前台小姐姐美丽又热情 ，态度特别好 酒店就在轻轨2号线出门那 去哪儿都很方便 离解放碑很近 ，离那个网红轻轨站李子坝只有三站,发表于2019-08-26,2.0,
5.0,首先想表达的是这是在国内住过酒店里最满意的酒店没有之一，其次前台服务的妹子，小伙子都很nice（欢欢、高原、小刘、太阳、葵花），热情。打扫卫生的阿姨都很好。最后房间特别干净。周边出行也很方便，出门10分钟就可以到三峡博物馆。一家人出行必选酒店，下次来重庆还要着这里。36个�,发表于2019-08-21,3.0,
4.5,前台的葵花和欢欢非常热情只要咨询就耐心讲解，葵花还帮我们把行李送到房间，外出时还给我们带了冰水，服务态度好。客房服务也很好有什么需求第一时间解决。,发表于2019-08-21,3.0,
5.0,真心说说这家酒店的前台的帅哥美女真的是很热情，态度好到完胜所有5星级酒店，房间也非常整洁干净，这次入住非常满意！唯一的建议就是赶紧把浴室的花洒换了吧，这个花洒配不上整个酒店的设施，这个花洒拖后腿了,发表于2019-08-20,4.0,
4.8,位置很好，出门100米之内就是大溪沟地铁站。酒店的前台美女帅哥服务态度非常好！任何时候都笑脸相迎，及时送上柠檬水。酒店卫生好，设施较新。美中略显不足是迷你房浴室有点小。但酒店有时还会满足顾客要求同位价调不同的房，真的是温暖哟！总之，非常棒！下次有机会还来住。,发表于2019-08-22,1.0,
5.0,带女儿两人出游，看点评选的酒店，沒到之前一直很忐忑，生怕遇到虚假评论被女儿埋怨，到店后顿时放心了，酒店位置很好，离2号线地铁大溪沟站200米，楼下不远街上各种小吃美食，酒店房间干净整洁，各种用具设施齐全，吹风机冰箱一应具全，打扫房间非常及时，每天提供4瓶免费矿泉水，并且清洁人员一再提醒水不够可以随时要，都是免费的�，由此引出最重要的，这家酒店的服务太贴心了！！！我们到店早了，房间没有收拾出来，前台美女葵花、竹林给升级了雅致大床间，一位帅哥详细给我们介绍周围的美食和交通，直接送我们到房间，全程微笑服务，细致认真。住了两天，遇到的每一个人包括清洁阿姨都热情周到，感觉非常温暖，女儿很喜欢这里，果断续住两天，并且说下次来重庆还要住！！,发表于2019-08-21,10.0,
5.0,酒店交通便利，离大溪沟地铁站很近！店内环境很好，设施很新，最让我们开心的是店内工作人员的热情，服务态度超级棒！虽然不能加床，但床边有个小榻榻米，向服务员多要了一床被子，解决了加床问题！,发表于2019-08-20,8.0,
5.0,酒店地理位置不错，房间干净，服务相当棒~！特别是太阳，葵花，欢欢服务都很好，媳妇很满意，以后再来还是会选择，也会推荐给朋友,发表于2019-09-17,1.0,
5.0,性价比非常高  服务特别好 地段也闹中取静 每个工作人员都面带笑容 房间打扫特别干净 天台可以晒衣服 总之 各种满意,发表于2019-09-05,17.0,18.0
5.0,高原 太阳和小汐接待的 帮忙把行李拿到房间门口  很贴心了  还有行李免费寄送车站 体验很棒,发表于2019-11-12,5.0,
5.0,小刘和可可的服务态度非常好，酒店设施非常棒，很满意,发表于2020-04-19,2.0,
5.0,叶子服务态度好，可可服务也很热情点赞�，酒店干净卫生。,发表于2020-04-17,2.0,
5.0,经济实惠 小倩跟叶子两个小姐姐服务也特别好 爱了爱了,发表于2020-04-16,2.0,
5.0,干净卫生热情❤️尤其小哥热情❤️的送到房间，把所有物品介绍一遍。马桶是电热的洗澡水24小时热腾腾的麻雀虽小 五脏俱全,发表于2019-10-20,1.0,
5.0,店家还算好找，服务非常到位，给人的感觉很亲切，整体环境卫生也挺好，大窗户可以看到阳光，手动开关窗帘。,发表于2019-12-03,8.0,
5.0,第一次到来住酒店，主要是选择离办事的地方较近，而且又是闹市区，非常合适。卫生很好，江景很赞！值得再住,发表于2019-10-08,5.0,
5.0,当晚入住前台接待员小汐，小艺态度特别好，早餐太好吃了，卫生很干净，已经推荐给朋友了,发表于2019-12-03,1.0,
5.0,小刘，葵花，高原，太阳服务很好，酒店不错,发表于2019-08-23,5.0,4.0
5.0,酒店很棒棒呀！订的迷你房，免费升级成了豪华大床房，环境很好，服务态度也特别棒，离地铁站也就一两分钟，以后来重庆就认准这家店了！,发表于2019-09-08,2.0,
5.0,酒店位置非常方便，在轻轨边上。小哥哥太阳和小姐姐小汐都超级热情，下次来重庆还会来这里住哒。一次开心的旅程�,发表于2019-10-08,1.0,
5.0,服务太好了，小刘，竹林，葵花，让我感受到重庆人民的热情，酒店环境也很好，有小朋友，两天早餐都送到房间，非常好,发表于2019-10-06,2.0,
5.0,很好，离解放碑就两个站 出门几十米就是轻轨站 ,发表于2019-11-23,25.0,15.0
5.0,酒店感觉很不错 前台葵花和竹林两个小姐姐服务热情 好评 酒店夜景很美 房间设施很不错,发表于2019-08-30,6.0,2.0
5.0,入住的非常愉快。晚上回来忘记刷房卡了有一个高原的小姐姐还会跑了两趟帮忙给耍房卡。还在晚上还帮忙给买了可乐。酒店的服务的特别好。下次到重庆一定还选择这边,发表于2019-08-23,15.0,2.0
5.0,看了好多评论，最后选了来住，没想到这酒店真心不错，不但卫生很干净，工作人员的态度都很好，尤其是搞卫生的阿姨，前台的欢欢，小刘，太阳和葵花服务态度全五星，住了3天很满意，门口还有自助水果机，吃完火锅买些水果解解辣，超级棒，下次还会入住来住,发表于2019-08-22,28.0,3.0
4.3,酒店很新，位置极佳，大溪沟地铁站出来后先找到重庆水务集团，右拐弯上坡就到了。 葵花、竹林、欢欢、高原四位前台小妹服务态度很好，入住时其中一位还陪同到房间介绍房间设施，提出表扬。 瓶装水不限量提供。有四个车位。单人间是大床，空间足够。,发表于2019-08-18,11.0,
5.0,"地理位置好，离地铁近，适合出行。酒店服务好，尤其点赞葵花、欢欢两位美女，特别贴心，给我们介绍周围美食、景点，每天提醒我们天热，补充水�
    下次一定再来",发表于2019-08-21,5.0,
5.0,酒店很干净，离地铁也很近，房间免费升级，房间装修的很舒服。停车免费，服务很周到，服务员帮忙送行李上车，房间一晚有4瓶水。酒店门口还有麻辣烫和冰粉的摊头，味道也很好。离李子坝和解放碑都只有两站地铁，方便极了。,发表于2019-08-19,8.0,3.0
5.0,环境非常舒适，服务更加无可挑剔。大热天抵达酒店，前台的美女小姐姐立刻送上一瓶冰冻的养乐多，还帮忙提行李，五星级酒店的服务也没这么好。,发表于2019-08-19,,
5.0,携程上订的酒店，环境干净舒适，交通也方便，关键服务特别热情，周到细心，特别感谢欢欢，太阳，竹琳，小刘，每次出行耐心指导交通，下次来重庆还会继续光顾这家酒店！,发表于2019-08-19,1.0,
5.0,很舒适的体验，服务非常周到，特别是葵花、竹林两位前台，帮忙升级房型，指点路程，非常贴心。房间整洁干净，旁边就是地铁，很方便。隔壁有个菜场，有好吃又正宗的梯坎面，门口斜坡下面卖红皮李子，很脆很甜，还有个卖串串的，每晚都来，汤汁浓郁，食材鲜美。隔壁步行能到到达的美食有舒心火锅，美美火锅，小毛肚火锅串串王。价格实惠，毛肚很脆…总归，去重庆一定要住来住酒店啦～要的要的！,发表于2019-08-18,1.0,
5.0,服务真的超热情，非常棒的一次入住，特别是高原和欢欢两个小美女，因为身份证丢失，请帮忙收一下快递，她们一直记得这件事，真的是很感谢她们，下次来重庆还会选择入住来住酒店的！,发表于2019-08-17,3.0,
5.0,这次带着宝宝们还有老人一起来旅游，一到店就给我们准备了养乐多，门口也有停车位还是很方便，酒店大厅的装饰比前两个月好看了很多，还有早餐、酒水、小吃、点心供应，门口还有水果售卖机，感觉什么都在进步改变，唯一不变的是他们的服务还是一样的特别热情、亲切，点名夸赞欢欢、葵花、太阳等每一位员工，感谢你们的照顾啦,发表于2019-08-14,16.0,7.0
5.0,早餐虽然不是自助，但品种还行，够吃，味道也不错，28元一份，我和女儿一份就够，服务很好，一直保持微笑，有问题也尽快解决，位置不是在解放碑那，所以周边很安静，但离地铁站很近，去哪都方便，因为赶早班车，退房时又找不到房卡，服务人员没有难为我，而是很温馨，给这次重庆游增添几分暖心和欢喜,发表于2019-08-15,5.0,
4.8,这家酒店目前最有特色的应该是服务了，尤其是欢欢，竹林，菜花。能为顾客考虑就是服务好。一个小小建议就是大厅的干花，很好看，但有些人不太习惯那种味道的。,发表于2019-08-13,3.0,3.0
5.0,"地方很好，闹中取静，在大礼堂附近一个小坡上，到大溪沟轻轨站只要几分钟，离解放碑两站，离红崖洞一站。

酒店干净卫生，最主要的是细节处处体现着匠心和关怀：大厅有吧台，有小点心，桌上有新鲜的红玫瑰与白玫瑰，还有专门拍照的取景台，房间里有懒人沙发，有睡衣，有茶叶茶具……

服务人员素质很好。第一天去，接待我们的是欢欢，一位漂亮的萌妹子，非常热情，帮我们推荐了本地老火锅，比较着吃了两顿，确实她推荐的那一家最好。第二天热得有些中暑，在一家饭馆向老板要了五只藿香正气液，收了我四十元。回来前台小姐姐高原了解情况后，立即把自己备的药拿了一盒给我，真的是没有比较没有差距。今天早上离开，起床发现儿子腿上有两个红包，不知被什么叮咬了，我也没在意，结果我已经返回湖北了，前台又打电话追问孩子情况，真的是超温暖。

很好的酒店，不挂星，但绝对是星级享受，希望你们不要忘了初心，一如既往坚持做好。反正我身边朋友或者我本人去重庆，我一定去这家店。

重要事情说三遍：欢欢，高原，不知道名字的帅哥，你们三位的服务态度超好，必须点赞！重要事情说三遍：欢欢，高原，不知道名字的帅哥，你们三位的服务态度超好，必须点赞！重要事情说三遍：欢欢，高原，不知道名字的帅哥，你们三位的服务态度超好，必须点赞！",发表于2019-08-15,2.0,
5.0,第一次入住来住酒店，房间描述与图片完全一致，干净整洁，交通便利，离主要景点都不远。前台非常的热情，尤其是服务人员太阳帮我们把行李送进房间，详细介绍了酒店注意事项，住宿期间小孩生病，太阳也很关心。短短的三天时间，一晃就过去了，临走时，前台服务人员集体送我们一家上车，如同朋友告别一样。在这里再次感谢太阳及他的团队！,发表于2019-08-15,1.0,
5.0,酒店巴适得板，漂亮干净卫生服务一流，特别表扬接待我们的小倪，服务特别热情，笔芯!!!江景房晚上看对岸超美哈哈,发表于2019-07-04,1.0,1.0
5.0,酒店位置好，环境优雅，服务一流。,发表于2019-06-25,5.0,8.0
5.0,西西的服务态度非常好 酒店卫生打扫做的很到位,发表于2020-04-24,2.0,
5.0,房间很大，环境不错，服务很好，还有人专门带进房间。点个赞�,发表于2019-09-17,3.0,2.0
5.0,非常棒 服务态度很好 下次来一定还选这个,发表于2019-08-28,4.0,3.0
5.0,酒店环境很好，竹林和可可前台小姐姐态度很好。行李管家也很方便直接送行李到机场。,发表于2020-01-06,2.0,1.0
5.0,服务非常好，大堂小姐姐，小哥哥非常热情，要把行李箱送到房间，高原，小刘，太阳，服务到位且很周到，早歺再提升一下，就全面0k了。,发表于2019-10-06,15.0,1.0
